year,statefips,countyfips,county_id,state_name,county_name,PCTUI,pctui_moe,NIPR,NUI,NIC,group,treated,post,treat_post
2009,1,1,1001,Alabama,Autauga County,14.0,1.2,44518.0,6248.0,38270.0,control,0,0,0
2009,1,3,1003,Alabama,Baldwin County,16.6,1.2,147060.0,24365.0,122696.0,control,0,0,0
2009,1,5,1005,Alabama,Barbour County,17.9,1.6,22372.0,4003.0,18369.0,control,0,0,0
2009,1,7,1007,Alabama,Bibb County,17.8,1.6,17411.0,3098.0,14314.0,control,0,0,0
2009,1,9,1009,Alabama,Blount County,17.8,1.5,49363.0,8808.0,40555.0,control,0,0,0
2009,1,11,1011,Alabama,Bullock County,19.4,1.9,8153.0,1580.0,6573.0,control,0,0,0
2009,1,13,1013,Alabama,Butler County,17.9,1.6,16576.0,2963.0,13612.0,control,0,0,0
2009,1,15,1015,Alabama,Calhoun County,15.5,1.2,94491.0,14615.0,79877.0,control,0,0,0
2009,1,17,1017,Alabama,Chambers County,18.7,1.6,28231.0,5285.0,22946.0,control,0,0,0
2009,1,19,1019,Alabama,Cherokee County,17.8,1.6,19749.0,3523.0,16226.0,control,0,0,0
2009,1,21,1021,Alabama,Chilton County,19.3,1.6,36868.0,7098.0,29770.0,control,0,0,0
2009,1,23,1023,Alabama,Choctaw County,18.3,1.6,11421.0,2085.0,9336.0,control,0,0,0
2009,1,25,1025,Alabama,Clarke County,16.8,1.6,21532.0,3618.0,17914.0,control,0,0,0
2009,1,27,1027,Alabama,Clay County,18.0,1.7,10999.0,1978.0,9020.0,control,0,0,0
2009,1,29,1029,Alabama,Cleburne County,17.9,1.6,12454.0,2234.0,10220.0,control,0,0,0
2009,1,31,1031,Alabama,Coffee County,15.6,1.4,41118.0,6435.0,34683.0,control,0,0,0
2009,1,33,1033,Alabama,Colbert County,16.2,1.4,45113.0,7290.0,37823.0,control,0,0,0
2009,1,35,1035,Alabama,Conecuh County,16.8,1.6,10556.0,1774.0,8782.0,control,0,0,0
2009,1,37,1037,Alabama,Coosa County,16.1,1.6,8662.0,1390.0,7272.0,control,0,0,0
