year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2009,        ,1,0,40,0,0,0,0,3947226,       0,623621,   14163,3323605,   14163,15.8,0.4, 84.2,  0.4, 15.8,  0.4, 84.2,  0.4,Alabama,                                             ,never_expanded,0,0,0
2009,        ,4,0,40,0,0,0,0,5631481,       0,1118761,   21752,4512720,   21752,19.9,0.4, 80.1,  0.4, 19.9,  0.4, 80.1,  0.4,Arizona,                                             ,expansion_2014,1,0,0
2009,        ,5,0,40,0,0,0,0,2407703,       0,471567,   11684,1936136,   11684,19.6,0.5, 80.4,  0.5, 19.6,  0.5, 80.4,  0.5,Arkansas,                                             ,expansion_2014,1,0,0
2009,        ,6,0,40,0,0,0,0,32316118,       0,6491176,   51454,25824942,   51454,20.1,0.2, 79.9,  0.2, 20.1,  0.2, 79.9,  0.2,California,                                             ,expansion_2014,1,0,0
2009,        ,8,0,40,0,0,0,0,4399921,       0,756645,   15821,3643276,   15821,17.2,0.4, 82.8,  0.4, 17.2,  0.4, 82.8,  0.4,Colorado,                                             ,expansion_2014,1,0,0
2009,        ,9,0,40,0,0,0,0,2945672,       0,299521,    9883,2646151,    9883,10.2,0.3, 89.8,  0.3, 10.2,  0.3, 89.8,  0.3,Connecticut,                                             ,expansion_2014,1,0,0
2009,        ,10,0,40,0,0,0,0,737809,       0,88758,    4888,649051,    4888,12.0,0.7, 88.0,  0.7, 12.0,  0.7, 88.0,  0.7,Delaware,                                             ,expansion_2014,1,0,0
2009,        ,11,0,40,0,0,0,0,500517,       0,40951,    3784,459566,    3784,8.2,0.8, 91.8,  0.8,  8.2,  0.8, 91.8,  0.8,District of Columbia,                                             ,expansion_2014,1,0,0
2009,        ,12,0,40,0,0,0,0,14977174,       0,3735524,   38637,11241650,   38637,24.9,0.3, 75.1,  0.3, 24.9,  0.3, 75.1,  0.3,Florida,                                             ,never_expanded,0,0,0
2009,        ,13,0,40,0,0,0,0,8551454,       0,1815729,   26171,6735725,   26171,21.2,0.3, 78.8,  0.3, 21.2,  0.3, 78.8,  0.3,Georgia,                                             ,never_expanded,0,0,0
2009,        ,15,0,40,0,0,0,0,1113433,       0,91365,    5549,1022068,    5549,8.2,0.5, 91.8,  0.5,  8.2,  0.5, 91.8,  0.5,Hawaii,                                             ,expansion_2014,1,0,0
2009,        ,17,0,40,0,0,0,0,11049539,       0,1658111,   23445,9391428,   23445,15.0,0.2, 85.0,  0.2, 15.0,  0.2, 85.0,  0.2,Illinois,                                             ,expansion_2014,1,0,0
2009,        ,19,0,40,0,0,0,0,2486915,       0,247530,    7821,2239385,    7821,10.0,0.3, 90.0,  0.3, 10.0,  0.3, 90.0,  0.3,Iowa,                                             ,expansion_2014,1,0,0
